queue_length,token_position,active_counters,avg_processing_time_min,centre_workload_pct,hour_of_day,day_of_week,crop_factor,quantity_quintals,historical_avg_wait_min,actual_wait_minutes
59,9,4,8.8,106.6,15,4,0.95,7.2,58.9,22.8
58,53,2,6.5,55.0,9,3,1.0,82.1,34.4,178.3
37,27,3,6.3,42.8,14,2,1.1,49.7,42.2,70.5
37,1,4,7.5,87.5,12,2,1.25,57.9,43.9,2.8
43,23,2,8.4,96.3,17,2,1.25,97.9,41.7,121.8
6,2,4,5.2,55.1,11,5,1.1,65.2,50.3,11.1
39,25,4,7.6,52.3,17,0,1.35,118.5,53.2,69.8
56,54,2,8.8,49.3,11,2,1.1,96.6,57.2,301.5
46,3,1,9.1,61.5,11,4,1.1,88.8,38.2,30.2
24,6,6,6.5,37.0,16,3,1.05,72.7,48.3,10.6
11,10,2,8.6,83.5,14,4,1.05,52.4,52.1,46.6
13,6,4,9.5,95.8,14,4,1.4,11.1,40.6,19.2
34,2,3,8.9,83.1,11,2,0.95,7.1,33.4,10.3
25,18,2,7.4,63.7,16,3,1.35,10.4,43.7,89.4
7,7,2,4.4,53.1,15,3,0.95,115.3,34.7,21.4
52,2,3,8.3,62.8,17,3,0.95,42.2,33.5,11.1
4,4,3,10.4,63.9,11,3,0.95,85.6,44.6,26.3
59,22,4,9.2,83.3,13,1,0.9,73.3,39.7,55.3
8,5,5,9.1,104.2,11,3,1.1,70.7,44.1,15.9
20,20,4,8.3,35.6,8,2,1.1,71.6,23.4,50.8
29,7,2,9.3,106.3,12,5,0.9,39.8,39.9,35.2
54,24,5,8.5,102.8,17,3,1.0,107.0,14.9,49.7
53,48,4,5.4,39.4,10,4,1.4,110.7,29.5,112.5
51,20,5,9.3,44.7,8,1,1.4,79.1,40.9,61.4
45,1,3,6.7,54.9,9,4,0.95,104.4,56.6,4.5
46,1,4,8.1,74.8,9,2,0.95,11.9,48.4,2.2
10,1,3,9.1,40.8,15,2,1.0,16.5,43.1,6.1
43,1,3,6.9,46.0,11,5,0.9,69.3,37.5,9.5
34,30,6,6.5,102.2,10,5,1.35,102.3,39.0,62.4
57,41,1,8.7,38.7,11,3,0.9,41.3,57.7,371.3
26,15,2,6.3,61.9,17,5,1.25,68.0,28.7,64.8
41,3,5,7.7,91.0,8,2,0.9,6.1,33.3,6.3
49,46,2,9.7,101.1,8,1,1.05,118.5,54.8,243.0
58,55,5,10.4,56.9,12,5,1.35,93.2,37.9,183.4
3,3,4,5.3,43.2,14,4,1.4,46.6,65.3,11.4
56,24,1,7.7,89.0,16,2,1.35,118.0,50.3,245.6
6,6,3,9.9,91.8,14,5,1.05,15.6,55.9,23.2
5,4,4,7.4,108.4,12,5,0.95,58.4,22.5,13.9
5,5,3,9.2,41.2,10,2,1.25,11.8,54.7,24.8
54,26,5,9.3,86.8,15,1,1.1,43.5,31.8,55.5
47,13,5,7.1,63.4,14,0,1.1,30.2,50.6,22.7
23,1,3,8.6,103.2,11,0,1.1,41.4,37.6,4.2
49,24,2,8.7,62.6,8,1,0.95,114.0,44.7,101.9
9,3,5,9.4,65.7,10,2,0.95,54.1,28.7,8.9
35,24,3,5.6,40.1,15,1,1.25,42.4,21.4,60.6
20,4,2,9.9,55.7,9,1,1.4,78.7,43.8,25.5
58,16,4,9.0,62.1,16,0,0.9,83.6,38.5,37.4
49,40,5,6.3,31.4,11,3,1.25,118.1,31.3,77.6
59,16,3,7.8,65.0,14,5,1.35,67.8,21.8,55.9
42,17,3,9.3,56.9,17,2,1.4,91.5,10.0,77.9
35,15,4,6.4,94.3,14,4,1.35,48.9,48.3,37.7
50,16,4,6.6,38.6,15,1,0.95,24.7,38.9,29.5
18,15,5,8.0,90.8,14,0,0.95,54.4,34.8,30.9
17,2,6,7.3,87.1,11,3,0.9,53.2,44.6,8.5
24,11,3,8.4,49.3,14,2,1.0,53.4,54.2,34.3
3,1,4,9.2,36.7,12,1,1.4,85.0,45.2,10.3
32,15,6,8.4,97.3,17,0,1.05,51.7,36.7,28.8
35,26,2,8.0,50.0,14,1,1.05,114.7,67.6,112.1
38,4,1,9.2,41.6,10,4,1.0,118.0,34.4,42.2
13,11,5,7.8,58.7,17,2,1.35,65.2,25.1,26.8
56,5,2,6.9,62.1,14,5,1.1,69.2,43.2,25.7
47,35,1,9.7,56.1,14,2,1.35,51.9,38.9,454.3
25,13,2,4.4,108.1,9,2,1.1,45.9,53.4,44.2
9,2,3,8.1,100.5,15,2,1.4,118.3,35.7,14.9
4,2,2,7.5,99.8,14,0,1.05,9.7,40.0,13.0
14,7,3,6.6,61.9,16,4,1.0,52.2,31.6,16.3
37,23,6,8.4,107.0,11,1,1.25,22.4,51.7,57.7
34,7,4,8.7,84.7,16,0,0.9,88.5,43.7,21.5
11,11,4,6.8,96.6,8,3,1.1,27.4,38.7,24.6
41,39,2,5.9,70.1,12,2,1.1,106.7,40.2,152.5
56,3,4,6.0,42.8,17,2,1.1,48.1,41.7,7.2
3,3,4,10.7,101.0,14,1,1.1,110.5,24.8,15.9
59,49,4,10.9,68.9,11,2,1.05,118.5,56.0,164.2
28,26,2,8.0,107.5,14,2,1.4,93.7,55.2,155.6
29,1,3,5.9,50.4,16,1,1.05,76.7,42.5,11.0
9,5,4,7.8,109.4,12,4,1.4,22.2,41.2,21.9
3,3,4,4.7,47.8,12,0,1.0,112.3,30.0,8.0
25,2,4,8.5,59.5,9,4,0.95,94.3,62.7,7.8
34,7,3,6.5,77.5,12,1,1.25,38.1,59.8,25.5
12,4,3,6.2,85.5,15,5,1.0,58.9,46.7,13.6
42,20,4,9.5,87.6,11,5,1.05,12.8,51.8,58.2
9,2,2,7.8,68.1,9,5,1.05,80.8,56.8,9.9
15,5,4,9.3,36.1,15,2,1.25,19.4,54.3,21.1
40,36,6,9.8,69.7,11,2,1.4,79.9,31.7,98.5
25,13,4,7.9,56.8,12,4,1.1,82.2,38.3,35.7
5,1,2,8.0,82.6,14,3,1.0,42.3,47.6,9.7
11,8,2,9.6,44.6,12,0,1.25,114.1,44.4,56.1
59,35,4,7.2,61.5,17,2,0.9,94.6,51.0,64.5
34,30,5,9.7,107.3,11,1,1.25,62.1,49.7,90.7
24,22,3,5.0,37.1,14,4,0.95,110.6,45.0,42.8
15,4,3,7.5,78.2,11,0,0.95,103.4,10.8,18.4
38,25,2,8.3,37.3,17,5,1.0,84.6,56.1,104.6
8,8,4,6.2,42.6,11,3,1.35,22.6,52.1,21.2
59,58,4,8.6,78.4,9,5,1.4,62.2,66.8,175.9
5,3,6,8.3,65.5,12,5,1.1,104.4,36.3,10.5
48,1,3,6.9,73.9,15,2,0.9,75.0,19.9,11.8
26,5,4,6.8,100.4,11,4,1.35,67.7,39.8,21.5
18,11,3,6.7,95.4,9,2,1.0,114.9,47.5,37.1
6,5,3,5.7,101.0,16,4,1.4,6.9,36.7,20.7
37,37,4,10.4,79.3,13,3,1.25,6.4,58.5,141.2
48,36,2,7.7,69.2,10,1,1.4,107.7,34.1,228.6
13,4,3,6.0,66.7,17,1,1.4,9.4,40.8,15.5
28,4,4,7.8,89.2,12,0,0.95,43.2,39.0,17.5
5,4,3,8.4,71.7,13,2,1.1,111.3,75.3,20.4
13,4,2,6.8,38.5,16,2,1.0,84.5,31.1,19.9
17,16,3,7.5,41.4,12,2,1.05,79.5,49.0,54.5
50,41,3,10.0,58.6,16,1,0.95,80.6,27.6,132.9
40,18,5,6.2,35.4,8,0,1.4,41.5,46.1,38.6
45,22,2,7.1,49.1,17,1,1.25,66.0,30.5,104.3
32,2,4,5.0,82.5,11,5,1.35,77.4,55.2,8.3
29,21,2,10.7,31.0,8,4,1.35,40.2,52.9,149.5
51,36,2,9.0,78.3,9,2,1.25,96.5,45.3,203.5
58,44,2,7.9,91.8,9,4,0.95,42.0,25.3,172.5
3,3,5,6.9,43.6,17,5,1.1,13.2,41.4,7.2
56,47,2,6.8,44.5,12,3,1.4,28.2,38.4,256.9
40,39,4,7.6,32.3,8,4,1.25,52.0,52.0,94.8
34,29,3,8.7,71.0,17,4,1.05,109.4,31.2,91.9
40,26,6,6.4,82.4,10,4,1.25,52.8,55.9,43.8
27,21,4,7.3,66.6,13,1,1.1,15.3,53.6,47.7
13,1,4,9.3,61.2,8,4,1.4,27.6,25.5,7.5
45,16,5,10.4,66.4,8,5,1.1,67.6,39.4,41.5
33,31,3,8.8,92.5,10,2,1.35,25.4,41.4,144.7
6,3,4,7.0,32.7,16,0,1.4,12.4,54.1,3.8
24,9,2,7.8,92.7,9,3,1.25,87.2,33.8,50.3
19,14,2,8.6,83.3,13,2,0.95,95.2,44.5,69.2
16,1,3,7.6,49.3,10,0,1.05,102.8,55.2,9.6
40,37,3,9.1,72.0,13,2,1.0,102.1,45.0,137.3
28,2,3,6.9,33.9,14,4,0.95,48.6,19.7,10.1
33,14,3,10.4,60.4,14,3,1.25,89.5,36.1,69.8
59,59,3,7.9,43.9,9,2,1.0,72.1,52.9,155.2
59,33,3,7.1,31.8,10,3,1.4,7.7,51.4,124.2
48,35,1,8.9,58.6,11,1,1.4,51.2,15.0,489.1
41,39,6,6.5,88.1,15,1,0.9,11.1,44.4,42.5
13,10,5,8.2,103.7,12,4,1.4,14.6,53.4,32.4
43,20,5,10.1,83.0,8,4,1.35,11.4,48.5,53.6
45,2,3,6.2,62.2,16,1,1.4,115.5,49.8,16.9
25,19,3,9.8,110.0,8,2,0.9,102.1,66.7,65.3
53,41,6,6.1,52.6,9,0,1.0,55.5,41.5,42.2
42,19,5,9.2,45.0,14,0,1.4,33.5,45.7,54.6
36,18,4,6.6,67.1,10,1,1.1,13.3,30.7,41.9
27,16,3,9.8,70.4,13,0,0.95,54.6,34.4,59.5
38,4,3,7.1,58.4,15,2,0.95,74.0,38.0,16.5
7,4,4,7.5,85.6,12,0,1.4,96.7,52.2,14.9
5,5,2,6.6,44.7,8,5,1.4,10.9,33.0,21.9
43,7,3,4.4,70.8,17,0,0.95,53.1,56.8,16.5
45,14,4,6.3,70.0,10,5,0.95,117.3,28.9,33.2
58,55,4,5.5,95.9,9,1,1.25,18.9,49.7,98.7
57,12,3,4.9,104.2,13,3,1.4,51.0,48.6,38.6
51,35,3,8.4,83.1,12,3,1.35,36.6,45.1,154.9
31,5,6,10.3,54.4,14,2,1.4,20.4,53.8,10.0
23,17,3,10.7,85.2,9,3,1.1,101.5,33.1,70.4
42,42,4,6.3,50.1,13,4,0.9,85.2,36.4,69.4
10,10,4,7.8,107.3,12,1,0.9,52.3,30.4,27.6
32,11,4,9.7,95.8,13,5,0.9,47.4,42.1,30.1
43,17,4,6.0,64.5,12,5,1.25,100.2,40.6,44.3
53,5,3,9.8,92.7,14,3,1.4,15.4,52.3,22.2
30,13,3,9.8,62.7,12,0,1.0,21.9,46.6,53.9
39,9,3,5.1,36.0,14,3,1.0,109.3,50.3,17.4
31,17,1,4.5,86.5,8,1,1.1,99.0,39.6,86.3
18,1,2,7.4,62.4,16,0,1.25,94.1,46.9,8.4
36,36,2,9.4,104.4,13,0,1.05,76.8,63.8,211.5
2,2,5,5.7,54.5,16,5,1.25,38.6,25.9,13.4
14,2,2,4.9,97.5,8,1,1.4,112.5,19.9,8.9
13,9,2,8.1,84.4,9,2,1.05,61.6,49.6,39.6
29,25,2,8.9,98.3,14,2,1.0,37.3,31.8,121.0
12,2,4,7.0,53.4,11,1,1.25,47.0,25.4,7.2
39,14,1,7.1,66.9,17,5,1.1,6.9,48.4,106.4
2,1,3,8.9,95.9,8,1,1.35,34.3,29.9,5.5
32,15,2,6.7,81.5,12,1,1.0,26.6,60.5,56.4
13,6,4,6.8,58.8,11,0,1.35,20.6,43.9,16.7
46,42,6,8.4,71.0,13,0,0.95,8.7,39.6,71.9
27,15,6,8.6,109.7,14,1,1.25,31.1,32.1,33.3
49,29,3,7.7,89.3,10,5,1.4,16.9,44.6,119.6
41,4,3,10.2,79.2,13,0,0.95,10.2,22.9,14.9
17,17,3,9.1,96.2,9,4,1.4,20.8,12.4,77.5
40,39,3,7.5,65.4,17,1,1.35,28.3,23.4,136.7
31,16,3,6.1,106.0,11,0,1.05,52.8,55.6,48.1
34,11,2,9.5,74.2,17,2,1.4,72.1,30.9,66.2
24,14,4,9.5,56.1,16,1,1.4,42.1,24.8,48.0
45,3,2,7.9,36.9,14,1,1.0,21.2,40.9,10.4
35,18,3,8.4,60.1,9,1,1.0,113.1,68.7,59.1
48,20,3,9.1,75.5,13,3,1.25,64.2,55.1,87.6
6,2,3,10.4,86.3,11,1,1.1,90.3,32.4,16.7
19,16,4,9.3,100.0,15,2,1.35,84.9,32.2,58.8
30,25,4,8.7,105.5,15,0,0.9,37.8,32.4,60.1
7,1,4,9.4,38.2,8,1,0.9,69.4,31.1,13.3
10,6,3,9.7,78.1,15,5,1.4,74.2,48.5,28.1
41,13,2,8.4,83.3,17,4,1.25,45.5,38.0,65.9
32,4,3,9.4,43.8,14,5,0.9,82.1,28.6,16.9
34,14,6,7.0,73.6,8,5,0.9,95.9,26.0,24.2
28,1,6,9.6,56.8,10,0,0.9,46.9,69.6,5.3
15,12,4,7.0,36.2,12,2,0.9,6.7,50.9,23.7
30,20,2,6.5,35.3,10,3,1.35,45.2,31.7,105.6
37,37,2,7.8,90.7,10,2,1.35,18.4,56.5,226.5
29,8,3,6.0,79.2,8,5,1.05,22.9,28.2,18.9
22,12,5,7.1,87.2,15,3,0.9,47.1,40.4,21.7
4,2,4,8.6,84.8,16,0,1.05,28.9,39.0,6.0
20,12,5,8.4,40.7,12,3,1.05,112.5,44.2,27.3
32,5,3,9.0,42.1,8,0,1.25,80.1,30.7,26.2
36,5,2,9.0,50.2,8,2,0.9,64.6,43.5,18.4
50,31,2,8.6,61.9,16,5,0.9,6.1,21.0,119.6
4,1,1,6.7,105.1,8,2,1.05,16.9,37.5,8.1
27,9,3,9.4,83.9,16,3,1.25,95.7,58.0,40.9
17,10,2,7.8,50.4,10,4,1.35,49.8,54.3,60.1
12,1,4,8.4,34.5,10,5,1.0,10.2,33.6,7.2
22,3,4,8.2,84.7,11,5,1.0,99.9,23.7,12.4
17,12,3,10.4,80.0,12,2,1.0,39.8,15.8,54.0
10,3,2,6.2,84.1,13,3,0.9,49.4,49.4,14.0
54,26,2,7.5,50.9,13,1,1.25,117.1,45.3,140.5
1,1,4,8.8,71.4,17,0,1.0,6.8,46.6,5.1
22,9,3,8.0,58.9,16,1,1.4,88.0,62.3,39.1
26,26,3,7.3,95.4,8,1,1.4,114.1,43.8,94.5
56,2,5,5.1,35.6,16,1,1.25,12.3,44.7,4.1
59,3,3,7.6,52.0,11,3,0.95,104.6,25.2,16.1
18,14,3,8.5,78.2,14,2,0.9,52.9,61.5,38.1
50,4,4,8.8,46.4,13,5,0.95,106.0,40.0,13.5
14,9,4,7.7,83.8,16,1,1.05,40.5,32.2,24.3
47,13,4,8.3,40.9,9,3,1.0,118.0,44.5,32.9
29,7,3,6.3,31.8,9,2,0.9,79.4,66.0,14.3
12,12,3,8.6,99.1,14,0,1.05,77.1,67.6,40.8
36,35,4,8.0,56.7,16,2,1.35,97.7,30.4,101.2
59,55,3,8.2,42.5,12,2,1.0,55.2,56.1,177.3
35,23,4,7.7,43.8,14,1,1.1,34.7,46.0,52.6
52,9,5,8.3,100.9,15,3,1.1,35.2,53.9,24.5
12,2,5,9.0,82.4,15,5,0.9,43.0,45.3,9.6
7,5,2,8.4,106.5,11,4,1.4,76.0,49.4,39.2
29,22,2,5.3,94.0,17,0,0.9,101.4,57.9,50.8
11,9,2,8.4,91.4,14,3,1.0,62.5,21.0,41.3
33,31,4,7.4,70.0,8,5,0.9,51.4,46.3,55.9
6,4,3,6.9,95.7,11,1,0.9,96.3,28.0,16.9
47,47,2,10.0,63.0,12,3,0.95,38.3,36.4,261.1
15,2,2,6.6,96.2,17,5,1.0,84.2,42.0,10.2
32,32,3,6.8,90.6,14,4,1.4,17.2,29.9,103.5
51,18,2,4.6,84.3,13,0,1.1,18.0,35.0,56.4
11,5,2,10.2,56.4,11,2,1.05,79.1,25.2,31.7
58,58,4,9.3,80.5,10,5,1.0,14.5,34.9,154.7
23,10,1,7.5,70.5,13,0,0.9,22.8,48.1,72.6
26,12,2,8.9,66.9,17,4,1.25,76.8,52.4,69.1
34,10,4,4.7,109.2,12,0,0.9,55.4,32.8,21.4
46,43,4,8.7,70.4,10,5,1.05,69.5,57.9,113.3
34,25,3,6.7,32.6,11,0,0.9,117.3,48.9,62.2
29,2,2,10.5,80.1,9,1,1.25,77.7,59.2,11.2
4,1,4,8.6,88.2,16,2,1.05,72.9,20.8,9.6
17,7,3,8.2,100.8,14,4,0.9,48.7,45.7,20.8
35,6,1,6.8,80.6,17,1,1.25,77.6,49.3,53.7
13,6,2,6.8,31.6,10,0,1.35,6.5,21.4,35.3
41,3,2,8.9,39.6,15,0,0.95,69.1,71.0,14.2
39,13,3,6.8,42.9,15,3,0.9,12.9,34.4,27.5
15,3,5,6.7,46.9,8,1,1.4,30.3,48.5,12.3
55,26,4,10.1,94.0,12,4,1.05,69.8,53.1,87.7
29,25,3,8.4,54.8,12,4,1.1,81.8,43.2,92.0
29,24,3,6.4,55.0,10,4,1.4,49.3,58.6,84.4
11,5,3,8.8,90.4,9,5,1.0,53.2,65.9,18.0
52,6,3,7.6,63.0,8,5,1.0,62.3,28.7,18.0
32,11,2,5.4,35.2,11,5,0.9,92.3,43.4,38.1
2,2,4,7.3,76.8,17,4,1.35,7.0,53.0,6.6
47,42,5,6.4,40.4,9,0,1.0,56.4,22.4,58.2
14,12,3,8.4,75.7,12,5,1.35,6.6,54.8,51.5
20,17,4,7.0,92.4,17,0,1.0,41.7,62.5,34.5
22,4,3,8.1,104.4,9,1,1.35,64.8,57.4,28.4
11,2,3,9.0,35.4,8,2,0.9,14.2,47.3,7.0
27,11,1,11.5,54.3,17,4,0.9,60.8,60.5,113.1
3,3,4,11.0,82.2,17,0,1.1,111.3,46.3,15.6
17,2,4,8.3,55.2,17,1,1.25,83.8,26.2,10.2
44,26,4,7.9,66.1,17,4,0.9,95.0,35.7,53.9
56,18,2,7.1,31.6,16,2,1.35,71.7,38.9,89.8
28,21,2,5.5,85.5,9,4,1.1,108.1,41.2,75.6
29,4,3,4.6,100.7,17,5,1.4,21.9,40.9,14.5
21,8,3,6.7,108.1,11,3,1.0,56.7,37.9,23.4
47,46,3,10.5,96.4,10,4,1.35,73.7,44.6,258.3
16,12,6,10.4,32.5,8,3,1.35,105.4,60.1,32.9
37,22,4,8.1,82.1,15,2,1.25,40.4,44.6,60.1
59,53,3,8.7,69.7,9,3,1.35,5.1,49.5,205.4
20,18,1,7.1,105.0,15,2,0.95,117.1,15.7,125.4
6,3,1,8.0,102.2,8,1,1.35,8.0,43.5,25.7
19,8,4,6.8,109.0,13,3,1.35,22.5,55.0,24.0
57,34,4,6.8,99.0,11,5,1.05,53.5,57.0,75.7
5,1,4,8.9,73.8,10,4,1.4,62.1,55.7,8.7
3,3,3,7.1,87.2,8,4,0.95,101.0,45.6,8.7
59,9,1,8.7,107.2,17,1,0.9,56.5,47.0,75.8
1,1,6,7.8,76.2,8,0,1.4,68.0,33.9,13.4
58,51,6,10.1,97.2,14,5,1.05,28.0,52.1,97.2
38,20,3,8.8,105.4,13,5,1.1,70.5,34.0,78.8
15,8,2,8.4,75.6,10,2,0.9,45.1,50.2,38.2
34,25,3,5.9,42.7,9,5,1.35,16.4,42.5,70.8
35,19,5,7.3,42.4,17,0,0.95,113.8,42.2,36.6
49,5,4,7.9,39.2,10,0,1.35,14.4,54.0,17.7
25,11,4,8.1,68.1,15,1,0.9,83.0,48.7,27.7
24,15,2,9.0,68.4,14,1,1.25,109.4,45.4,89.3
12,8,2,8.3,79.4,14,3,1.1,25.6,36.0,39.4
18,8,2,6.5,68.6,12,5,1.0,32.3,61.2,33.1
15,10,5,8.9,107.8,17,3,1.4,54.1,46.0,32.5
44,27,3,7.3,53.3,10,3,1.05,38.9,51.0,85.5
16,14,4,7.0,99.9,8,3,1.25,92.3,43.0,37.9
27,19,2,6.3,38.0,8,3,1.05,43.9,33.7,73.3
8,8,5,7.5,78.2,13,4,1.25,118.4,46.3,22.0
46,42,4,7.2,81.9,11,1,1.35,103.8,34.9,124.4
25,7,2,9.7,91.8,14,2,0.95,108.0,47.3,33.5
17,9,5,7.6,70.2,17,2,0.95,12.3,10.0,15.0
29,1,2,8.8,45.8,17,2,0.9,25.3,37.2,4.4
53,19,2,5.3,59.5,17,2,1.4,24.5,41.8,69.1
8,5,2,9.1,51.8,8,2,1.25,82.3,30.5,29.3
15,3,5,9.0,63.5,13,4,0.9,6.4,46.4,8.2
27,1,5,5.8,72.4,14,1,0.9,97.7,36.9,7.6
46,16,3,6.7,80.0,8,5,1.1,67.9,41.9,47.4
50,23,4,7.0,97.6,9,3,0.9,70.1,35.4,41.9
52,7,4,7.7,102.8,16,3,1.0,66.8,53.7,24.1
7,2,4,6.9,67.0,16,3,1.35,66.6,48.6,8.4
3,1,2,7.6,37.1,13,1,0.95,27.8,45.6,8.9
29,10,3,9.0,93.8,11,1,1.1,37.6,42.7,43.6
44,28,4,7.2,68.2,14,5,1.1,61.1,72.4,63.1
53,53,1,8.4,73.7,12,4,1.0,83.0,40.1,512.6
24,5,3,8.3,77.7,10,4,1.0,36.3,33.6,22.5
58,49,4,4.0,83.4,11,5,1.05,97.7,27.9,62.1
3,2,2,6.8,101.2,9,3,1.35,98.2,52.9,16.8
20,5,6,9.5,106.2,13,5,1.25,36.5,61.6,20.0
46,22,1,6.7,105.2,10,1,0.95,69.4,31.8,166.3
15,15,6,6.4,94.8,14,3,1.35,45.1,38.6,28.0
25,13,2,9.6,101.1,11,4,1.05,26.9,37.7,75.5
30,28,1,8.2,34.0,15,5,1.35,97.7,40.5,305.5
14,1,2,10.2,97.9,8,3,1.25,119.0,20.8,10.6
7,3,4,7.3,35.8,16,4,0.95,70.1,51.7,10.5
17,1,4,9.8,89.7,10,0,1.05,110.1,56.3,10.6
44,43,2,6.7,43.5,10,2,0.95,78.8,19.1,163.2
20,18,2,4.1,58.8,12,0,1.0,70.1,63.1,48.3
36,30,3,9.0,44.7,17,5,1.25,60.2,61.4,116.3
9,7,3,8.9,65.5,8,3,1.0,32.1,10.0,26.7
38,33,4,9.0,62.9,10,3,0.95,14.7,15.9,83.1
48,26,1,7.7,33.8,11,1,1.0,55.9,40.4,227.9
57,48,3,10.2,96.4,9,2,1.05,69.6,57.8,173.8
22,1,4,9.3,98.3,13,4,0.9,63.6,45.5,11.8
54,49,6,9.2,93.0,17,3,1.25,85.0,42.3,100.9
53,38,4,8.2,97.8,11,4,1.1,27.1,48.9,106.5
53,2,2,6.0,90.1,8,4,1.1,45.7,32.3,7.2
2,1,2,8.1,105.0,10,4,1.25,52.8,57.3,9.7
24,6,3,8.5,76.1,14,0,1.25,26.5,40.8,26.1
8,6,3,11.0,76.6,10,4,1.25,109.2,22.4,35.8
11,2,5,8.4,98.8,13,1,1.25,83.4,32.5,9.6
13,6,4,6.4,58.0,13,0,0.95,15.6,46.4,16.1
17,10,3,8.7,34.0,8,0,0.9,87.0,38.5,28.3
8,8,3,9.9,90.0,9,3,1.0,68.0,37.3,32.8
21,18,3,10.6,50.4,17,2,0.95,65.3,44.4,62.0
18,9,2,7.8,67.9,13,2,1.25,118.8,46.3,56.7
30,8,1,7.7,49.2,9,5,1.05,76.1,27.2,64.7
18,10,3,5.9,96.2,9,3,0.95,108.1,56.7,27.6
46,17,2,7.1,106.7,11,2,1.25,110.1,40.4,94.0
47,29,2,8.6,34.4,15,4,1.0,16.7,47.0,126.5
31,26,2,5.7,48.7,13,1,1.0,6.0,43.2,85.8
38,6,2,11.1,45.2,15,4,1.0,55.1,37.1,36.7
32,14,1,7.5,83.9,11,2,0.95,93.5,52.9,114.1
11,6,4,8.2,64.3,10,2,1.05,99.8,43.0,24.3
45,6,3,8.5,66.5,14,1,1.4,95.6,42.9,26.3
25,7,3,9.7,42.6,14,0,1.1,56.4,12.1,30.8
33,12,3,8.4,63.2,9,0,0.95,91.2,51.8,38.8
38,35,6,6.4,54.3,8,1,1.05,87.7,40.0,49.2
41,14,2,8.6,78.9,15,0,1.25,41.1,51.1,77.2
8,6,3,9.7,47.4,10,2,0.9,24.4,61.7,23.4
11,3,2,6.7,79.2,13,0,0.9,76.5,51.9,15.5
22,16,3,9.2,60.2,14,2,1.35,82.9,42.6,67.0
51,7,5,8.4,57.7,15,3,1.0,70.3,38.6,18.7
24,8,4,8.1,54.4,13,4,0.9,29.5,72.3,29.1
41,25,4,7.0,83.9,14,0,1.1,36.8,47.8,57.0
17,13,3,7.7,75.0,12,3,0.95,86.5,44.5,39.6
12,5,4,8.7,98.1,10,5,1.25,115.7,39.8,18.5
57,41,1,7.4,49.3,9,0,0.95,113.7,31.2,288.5
46,10,3,6.5,33.2,14,3,1.35,64.8,18.6,36.7
32,21,3,6.5,44.6,15,1,0.9,107.0,60.3,47.1
15,7,3,8.4,57.5,15,3,1.1,8.4,32.6,27.3
16,11,2,8.7,44.4,10,2,1.1,104.0,39.7,61.7
54,9,4,7.9,36.7,9,1,1.4,59.8,40.7,30.1
22,15,2,10.7,65.6,16,1,1.4,94.9,59.2,113.0
28,20,2,5.4,84.2,13,2,0.9,5.6,32.8,58.8
20,2,3,8.6,90.1,17,0,1.1,104.9,45.1,13.6
33,25,2,5.2,61.9,10,1,1.0,73.4,48.1,83.0
10,2,4,7.8,68.2,12,0,1.4,32.6,25.4,9.2
40,34,3,8.4,90.4,8,4,1.1,45.0,24.3,111.5
32,3,4,7.7,58.2,9,3,1.4,28.1,33.4,12.3
50,38,3,5.1,92.8,16,3,1.25,53.8,44.9,89.5
33,3,4,7.9,107.4,17,2,1.35,43.0,43.4,20.2
2,1,5,8.0,100.4,17,2,1.1,66.5,40.6,10.2
33,6,3,9.3,66.3,10,5,1.1,98.7,49.8,26.3
33,19,3,5.9,76.4,15,3,1.05,118.0,31.7,46.0
41,3,5,10.2,87.3,17,4,1.25,33.9,40.0,14.0
13,2,1,4.2,57.9,15,2,1.05,17.2,40.6,5.9
30,7,3,6.1,93.9,12,4,1.4,50.5,32.0,26.3
33,9,2,8.3,65.0,15,5,0.95,21.5,69.6,38.7
13,4,1,8.5,97.7,9,2,1.25,100.9,16.1,35.5
52,12,2,10.3,50.4,9,1,1.35,62.6,56.9,81.1
26,5,3,8.3,30.9,11,5,0.9,76.3,51.6,17.7
22,3,4,7.8,80.6,15,0,1.0,22.3,51.7,9.4
39,11,2,8.7,66.2,9,3,1.4,91.2,43.2,68.0
2,1,4,4.5,34.8,11,0,1.35,117.0,58.0,7.8
38,30,3,6.5,69.0,15,5,1.1,60.5,36.6,73.1
39,4,6,6.2,43.5,10,3,0.9,115.7,46.7,16.2
26,5,6,9.4,80.4,15,5,1.4,9.0,42.9,11.4
46,1,4,10.0,65.6,9,2,1.35,9.1,39.2,1.0
58,27,5,10.8,43.7,8,0,1.35,115.4,43.5,87.2
50,28,4,8.9,63.0,13,5,0.95,85.5,30.6,71.4
15,15,5,9.3,48.6,15,5,1.0,26.7,34.0,29.1
34,29,2,8.1,82.2,16,4,1.1,46.8,61.0,134.0
42,18,3,7.3,53.6,17,5,1.25,63.4,76.6,57.6
55,12,4,6.4,95.8,15,2,1.0,85.8,48.2,27.4
44,13,3,6.2,31.1,9,5,1.05,101.8,52.0,33.0
49,41,4,5.9,62.3,8,1,1.4,14.5,45.0,87.0
40,2,5,9.1,79.4,14,0,1.1,80.5,47.5,7.4
11,5,2,7.4,31.8,14,0,1.4,59.8,48.5,25.0
3,1,4,6.9,47.3,10,1,1.0,73.7,54.4,16.4
59,16,2,5.0,56.2,13,3,1.35,63.5,60.4,63.2
6,3,3,6.6,31.7,14,2,1.1,56.8,31.4,8.5
